,date,hometeam,awayteam,homecountry,awaycountry,homescore,awayscore,result
0,1990-09-18,Odense,Real Madrid,dk,es,1,4,1.0
1,1990-09-19,Knattspyrnufélag Akureyrar,CSKA Sofia,is,bg,1,0,0.0
2,1990-09-19,Marseille,KS Dinamo Tirana,fr,al,5,1,0.0
3,1990-09-19,Dinamo București,St Patrick's Athletic FC,ro,ie,4,0,0.0
4,1990-09-19,Valletta FC,Rangers,mt,sct,0,4,1.0
5,1990-09-19,Porto,Portadown FC,pt,nir,5,0,0.0
6,1990-09-19,Lillestrøm,Club Brugge,no,be,1,1,0.5
7,1990-09-19,FC Tirol Innsbruck,Lahti,at,fi,5,0,0.0
8,1990-09-19,Malmö,Beşiktaş,se,tr,3,2,0.0
9,1990-09-19,Lech Poznań,Panathinaikos,pl,gr,3,0,0.0
10,1990-09-19,Sparta Prague,Spartak Moscow,cz,ru,0,2,1.0
11,1990-09-19,Union Luxembourg,Dresden,lu,de,1,3,1.0
12,1990-09-19,APOEL FC,Bayern Munich,cy,de,2,3,1.0
13,1990-09-19,Red Star,Grasshopper,rs,ch,1,1,0.5
14,1990-09-19,Napoli,Újpest,it,hu,3,0,0.0
15,1990-10-02,Real Madrid,Odense,es,dk,6,0,0.0
16,1990-10-03,Dresden,Union Luxembourg,de,lu,3,0,0.0
17,1990-10-03,Bayern Munich,APOEL FC,de,cy,4,0,0.0
18,1990-10-03,Újpest,Napoli,hu,it,0,2,1.0
19,1990-10-03,Beşiktaş,Malmö,tr,se,2,2,0.5
20,1990-10-03,CSKA Sofia,Knattspyrnufélag Akureyrar,bg,is,3,0,0.0
21,1990-10-03,Portadown FC,Porto,nir,pt,1,8,1.0
22,1990-10-03,Grasshopper,Red Star,ch,rs,1,4,1.0
23,1990-10-03,Lahti,FC Tirol Innsbruck,fi,at,1,2,1.0
24,1990-10-03,St Patrick's Athletic FC,Dinamo București,ie,ro,1,1,0.5
25,1990-10-03,Spartak Moscow,Sparta Prague,ru,cz,2,0,0.0
26,1990-10-03,KS Dinamo Tirana,Marseille,al,fr,0,0,0.5
27,1990-10-03,Panathinaikos,Lech Poznań,gr,pl,1,2,1.0
28,1990-10-03,Rangers,Valletta FC,sct,mt,6,0,0.0
29,1990-10-03,Club Brugge,Lillestrøm,be,no,2,0,0.0
30,1990-10-23,Bayern Munich,CSKA Sofia,de,bg,4,0,0.0
31,1990-10-24,Milan,Club Brugge,it,be,0,0,0.5
32,1990-10-24,Napoli,Spartak Moscow,it,ru,0,0,0.5
33,1990-10-24,Dinamo București,Porto,ro,pt,0,0,0.5
34,1990-10-24,Dresden,Malmö,de,se,1,1,0.5
35,1990-10-24,Red Star,Rangers,rs,sct,3,0,0.0
36,1990-10-24,Real Madrid,FC Tirol Innsbruck,es,at,9,1,0.0
37,1990-10-25,Lech Poznań,Marseille,pl,fr,3,2,0.0
38,1990-11-06,CSKA Sofia,Bayern Munich,bg,de,0,3,1.0
39,1990-11-07,FC Tirol Innsbruck,Real Madrid,at,es,2,2,0.5
40,1990-11-07,Malmö,Dresden,se,de,1,1,0.5
41,1990-11-07,Rangers,Red Star,sct,rs,1,1,0.5
42,1990-11-07,Spartak Moscow,Napoli,ru,it,0,0,0.5
43,1990-11-07,Marseille,Lech Poznań,fr,pl,6,1,0.0
44,1990-11-07,Club Brugge,Milan,be,it,0,1,1.0
45,1990-11-07,Porto,Dinamo București,pt,ro,4,0,0.0
46,1991-03-06,Bayern Munich,Porto,de,pt,1,1,0.5
47,1991-03-06,Milan,Marseille,it,fr,1,1,0.5
48,1991-03-06,Spartak Moscow,Real Madrid,ru,es,0,0,0.5
49,1991-03-06,Red Star,Dresden,rs,de,3,0,0.0
50,1991-03-20,Marseille,Milan,fr,it,3,0,0.0
51,1991-03-20,Dresden,Red Star,de,rs,0,3,1.0
52,1991-03-20,Real Madrid,Spartak Moscow,es,ru,1,3,1.0
53,1991-03-20,Porto,Bayern Munich,pt,de,0,2,1.0
54,1991-04-10,Bayern Munich,Red Star,de,rs,1,2,1.0
55,1991-04-10,Spartak Moscow,Marseille,ru,fr,1,3,1.0
56,1991-04-24,Marseille,Spartak Moscow,fr,ru,2,1,0.0
57,1991-04-24,Red Star,Bayern Munich,rs,de,2,2,0.5
58,1991-05-29,Red Star,Marseille,rs,fr,0,0,0.5
