Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
1999-2000,1,1999-07-30,Bordeaux,Bastia,3,2,1.0
1999-2000,1,1999-07-30,Monaco,Saint-Étienne,2,2,0.5
1999-2000,1,1999-07-31,Lyon,Montpellier,1,2,0.0
1999-2000,1,1999-07-31,Metz,Rennes,0,0,0.5
1999-2000,1,1999-07-31,Nantes,Le Havre,1,0,1.0
1999-2000,1,1999-07-31,Marseille,Sedan,3,0,1.0
1999-2000,1,1999-07-31,Auxerre,Nancy,2,1,1.0
1999-2000,1,1999-07-31,Paris S-G,Troyes,1,0,1.0
1999-2000,1,1999-07-31,Strasbourg,Lens,1,0,1.0
1999-2000,2,1999-08-05,Troyes,Lyon,1,2,0.0
1999-2000,2,1999-08-05,Le Havre,Marseille,0,0,0.5
1999-2000,2,1999-08-06,Lens,Monaco,1,0,1.0
1999-2000,2,1999-08-06,Sedan,Nancy,3,1,1.0
1999-2000,2,1999-08-06,Bastia,Strasbourg,3,0,1.0
1999-2000,2,1999-08-06,Saint-Étienne,Nantes,0,2,0.0
1999-2000,2,1999-08-07,Montpellier,Bordeaux,2,2,0.5
1999-2000,2,1999-08-07,Rennes,Paris S-G,1,3,0.0
1999-2000,2,1999-08-07,Metz,Auxerre,3,0,1.0
1999-2000,3,1999-08-14,Auxerre,Sedan,3,1,1.0
1999-2000,3,1999-08-14,Nantes,Lens,0,1,0.0
1999-2000,3,1999-08-14,Monaco,Bastia,4,0,1.0
1999-2000,3,1999-08-14,Strasbourg,Montpellier,2,0,1.0
1999-2000,3,1999-08-14,Paris S-G,Metz,2,1,1.0
1999-2000,3,1999-08-14,Nancy,Le Havre,3,0,1.0
1999-2000,3,1999-08-14,Bordeaux,Troyes,4,0,1.0
1999-2000,3,1999-08-15,Marseille,Saint-Étienne,3,3,0.5
1999-2000,3,1999-08-15,Lyon,Rennes,2,2,0.5
1999-2000,4,1999-08-20,Rennes,Bordeaux,2,1,1.0
1999-2000,4,1999-08-20,Troyes,Strasbourg,2,1,1.0
1999-2000,4,1999-08-20,Saint-Étienne,Nancy,2,1,1.0
1999-2000,4,1999-08-20,Le Havre,Sedan,2,1,1.0
1999-2000,4,1999-08-20,Metz,Lyon,0,1,0.0
1999-2000,4,1999-08-20,Montpellier,Monaco,2,3,0.0
1999-2000,4,1999-08-20,Paris S-G,Auxerre,1,1,0.5
1999-2000,4,1999-08-22,Bastia,Nantes,2,1,1.0
1999-2000,4,1999-08-22,Lens,Marseille,0,0,0.5
1999-2000,5,1999-08-28,Auxerre,Le Havre,2,1,1.0
1999-2000,5,1999-08-28,Marseille,Bastia,1,1,0.5
1999-2000,5,1999-08-28,Bordeaux,Metz,0,0,0.5
1999-2000,5,1999-08-28,Nancy,Lens,2,1,1.0
1999-2000,5,1999-08-28,Sedan,Saint-Étienne,3,2,1.0
1999-2000,5,1999-08-28,Strasbourg,Rennes,2,1,1.0
1999-2000,5,1999-08-28,Nantes,Montpellier,3,0,1.0
1999-2000,5,1999-08-29,Monaco,Troyes,3,0,1.0
1999-2000,5,1999-08-29,Lyon,Paris S-G,1,0,1.0
1999-2000,6,1999-09-11,Saint-Étienne,Le Havre,3,3,0.5
1999-2000,6,1999-09-11,Troyes,Nantes,1,0,1.0
1999-2000,6,1999-09-11,Lens,Sedan,0,3,0.0
1999-2000,6,1999-09-11,Bastia,Nancy,1,1,0.5
1999-2000,6,1999-09-11,Lyon,Auxerre,0,0,0.5
1999-2000,6,1999-09-11,Montpellier,Marseille,3,1,1.0
1999-2000,6,1999-09-11,Metz,Strasbourg,0,0,0.5
1999-2000,6,1999-09-12,Rennes,Monaco,2,1,1.0
