,date,hometeam,awayteam,homecountry,awaycountry,homescore,awayscore,result
0,1998-09-15,Beitar Jerusalem,Rangers,il,sct,1,1,0.5
1,1998-09-15,Újpest,Club Brugge,hu,be,0,5,1.0
2,1998-09-15,Bordeaux,Rapid Wien,fr,at,1,1,0.5
3,1998-09-15,Steaua,Valencia,ro,es,3,4,1.0
4,1998-09-15,NK Maribor,Wisła Kraków,si,pl,0,2,1.0
5,1998-09-15,Vitória Guimarães,Celtic,pt,sct,1,2,1.0
6,1998-09-15,Litex Lovech,Grazer AK,bg,at,1,1,0.5
7,1998-09-15,Blackburn,Lyon,eng,fr,0,1,1.0
8,1998-09-15,Sporting CP,Bologna,pt,it,0,2,1.0
9,1998-09-15,ŁKS Łódź,Monaco,pl,fr,1,3,1.0
10,1998-09-15,Fenerbahçe,Parma,tr,it,1,0,0.0
11,1998-09-15,Schalke 04,Slavia Prague,de,cz,1,0,0.0
12,1998-09-15,Zürich,Anorthosis,ch,cy,4,0,0.0
13,1998-09-15,Dynamo Moscow,Skonto FC,ru,lv,2,2,0.5
14,1998-09-15,Stuttgart,Feyenoord,de,nl,1,3,1.0
15,1998-09-15,Leeds United,Marítimo,eng,pt,1,0,0.0
16,1998-09-15,Vejle BK,Real Betis,dk,es,1,0,0.0
17,1998-09-15,Argeș Pitești,Celta Vigo,ro,es,0,1,1.0
18,1998-09-15,Servette,CSKA Sofia,ch,bg,2,1,0.0
19,1998-09-15,Aston Villa,Strømsgodset,eng,no,3,2,0.0
20,1998-09-15,Atlético Madrid,FK Obilić,es,rs,2,0,0.0
21,1998-09-15,Sparta Prague,Real Sociedad,cz,es,2,4,1.0
22,1998-09-15,Fiorentina,Hajduk Split,it,hr,2,1,0.0
23,1998-09-15,Udinese,Leverkusen,it,de,1,1,0.5
24,1998-09-15,Red Star,Metz,rs,fr,2,1,0.0
25,1998-09-15,Vitesse,AEK Athens,nl,gr,3,0,0.0
26,1998-09-15,Sigma Olomouc,Marseille,cz,fr,2,2,0.5
27,1998-09-15,Brann,Werder Bremen,no,de,2,0,0.0
28,1998-09-15,Willem II,FC Dinamo Tbilisi,nl,ge,3,0,0.0
29,1998-09-15,Košice,Liverpool,sk,eng,0,3,1.0
30,1998-09-15,Silkeborg,Roma,dk,it,0,2,1.0
31,1998-09-16,Anderlecht,Grasshopper,be,ch,0,2,1.0
32,1998-09-29,Club Brugge,Újpest,be,hu,2,2,0.5
33,1998-09-29,Grasshopper,Anderlecht,ch,be,0,0,0.5
34,1998-09-29,Anorthosis,Zürich,cy,ch,2,3,1.0
35,1998-09-29,Bologna,Sporting CP,it,pt,2,1,0.0
36,1998-09-29,AEK Athens,Vitesse,gr,nl,3,3,0.5
37,1998-09-29,Celta Vigo,Argeș Pitești,es,ro,7,0,0.0
38,1998-09-29,Monaco,ŁKS Łódź,fr,pl,0,0,0.5
39,1998-09-29,Lyon,Blackburn,fr,eng,2,2,0.5
40,1998-09-29,Valencia,Steaua,es,ro,3,0,0.0
41,1998-09-29,Feyenoord,Stuttgart,nl,de,0,3,1.0
42,1998-09-29,Metz,Red Star,fr,rs,2,1,0.0
43,1998-09-29,Liverpool,Košice,eng,sk,5,0,0.0
44,1998-09-29,Marseille,Sigma Olomouc,fr,cz,4,0,0.0
45,1998-09-29,Slavia Prague,Schalke 04,cz,de,1,0,0.0
46,1998-09-29,Real Sociedad,Sparta Prague,es,cz,1,0,0.0
47,1998-09-29,Marítimo,Leeds United,pt,eng,1,0,0.0
48,1998-09-29,Parma,Fenerbahçe,it,tr,3,1,0.0
49,1998-09-29,Werder Bremen,Brann,de,no,4,0,0.0
50,1998-09-29,FC Dinamo Tbilisi,Willem II,ge,nl,0,3,1.0
51,1998-09-29,Grazer AK,Litex Lovech,at,bg,2,0,0.0
52,1998-09-29,Hajduk Split,Fiorentina,hr,it,0,0,0.5
53,1998-09-29,Wisła Kraków,NK Maribor,pl,si,3,0,0.0
54,1998-09-29,Rapid Wien,Bordeaux,at,fr,1,2,1.0
55,1998-09-29,Strømsgodset,Aston Villa,no,eng,0,3,1.0
56,1998-09-29,Celtic,Vitória Guimarães,sct,pt,2,1,0.0
